Université,Date de création,img_url
Université du Québec,1968,https://i.pinimg.com/736x/4c/d5/7b/4cd57b22cce707407de8228bc34ce603.jpg
Université de Toronto,1827,https://i.pinimg.com/736x/bc/81/05/bc8105eb5fdea7f2fd18ee88c8f0a458.jpg
Université de Montréal,1878,https://i.pinimg.com/736x/37/9a/92/379a92a17f83934f1ccde459378104df.jpg
Université de la Colombie-Britannique,1908,https://i.pinimg.com/736x/67/90/ac/6790ac891185b4ddb8b0795dbedfa3a0.jpg
Université York,1959,https://i.pinimg.com/736x/98/9c/5c/989c5c28d2447f7415432a858b3d9e9c.jpg
Université d’Ottawa,1848,https://i.pinimg.com/736x/7a/b5/6e/7ab56e78565c3c0821d00d62253e6f14.jpg
Université métropolitaine de Toronto,1948,https://i.pinimg.com/736x/75/9f/00/759f0006704f10474ae9133eb572c50f.jpg
Université Concordia,1974,https://i.pinimg.com/736x/99/df/9a/99df9a91ac3bdf29dc67a236607ab56a.jpg
Université Laval,1852,https://i.pinimg.com/736x/80/ce/33/80ce331d909e54de3cebeda0fd2bd948.jpg
Université Athabasca,1970,https://i.pinimg.com/736x/95/ee/67/95ee67ccf7e0ab57489c2c86ebd4040e.jpg
Université McGill,1821,https://i.pinimg.com/736x/9c/c0/93/9cc093d00c0081a288a9a0222c240f1f.jpg
Université de l’Alberta,1908,https://i.pinimg.com/736x/ee/79/55/ee79555182ef3c2fbe5a5d86943c50e9.jpg
Université de Waterloo,1957,https://i.pinimg.com/736x/52/11/14/5211142faa860e4c344786b512c6ac2e.jpg
Université de Sherbrooke,1954,https://i.pinimg.com/736x/eb/7b/1a/eb7b1a0626b15d2476aa767861282ca1.jpg
Université Simon Fraser,1965,https://i.pinimg.com/736x/38/88/f7/3888f7fd997ee536e23d65fbd04d8799.jpg
