Université,Date de création,img_url
Université de Pékin,1916,https://i.pinimg.com/736x/ce/f5/93/cef593dcac3238405f1773377cd225a2.jpg                         
Université Tsinghua,1964,https://i.pinimg.com/736x/9b/c9/0f/9bc90f66c95c981b525537c535ca1434.jpg
Université Fudan,1988, https://i.pinimg.com/736x/30/e3/1a/30e31a2cb9080cbe0c3568793ec1ad62.jpg
Université de Shanghai Jiao Tong,1974,https://upload-china-admissions.imgix.net/uploads/school_pictures/SJTU_Minhang_campus.jpg?auto=format,enhance,redeye,compress,true
Université Zhejiang,1990,https://i.pinimg.com/736x/46/46/a0/4646a00793a4a69c9f08a1464b47c33c.jpg
Université de Nanjing,1926,https://i.pinimg.com/736x/91/04/b8/9104b82448803614a93862e79ea3028d.jpg
Université Sun Yat-sen,1990,https://th.bing.com/th/id/OIP.ANePPNxPqKsyEirO06SzoAHaEK?rs=1&pid=ImgDetMain
Université des Sciences et Technologies de Chine,1961,https://th.bing.com/th/id/OIP.TtT8N9EbuGhyE3Q1F7eL_gHaEk?w=273&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de Wuhan,1983,https://th.bing.com/th/id/OIP.NY7ZLvxfjTOl-Qa2XZT5_wHaE7?w=229&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Renmin de Chine,1911,https://th.bing.com/th/id/OIP.XWziJHv6VRh9f7JeyzoZXAHaEg?w=258&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de Xi'an Jiaotong,1990,https://smapse.com/storage/2018/09/18488220.jpg
Université du Sud-Ouest,1906,https://th.bing.com/th/id/R.7b93e8176b7c44fecad4de9a9d02b096?rik=6fa71CgYb8E5VA&riu=http%3a%2f%2fwww.chine-nouvelle.com%2fjdd%2fpublic%2fdocuments%2fstudy%2fschool%2fswu.1.jpg&ehk=v8tG7qA%2fnYG6Z6Yxu2kmANWekIdKip4dZ16E31f09zg%3d&risl=&pid=ImgRaw&r=0
Université de Tianjin,1977,https://th.bing.com/th/id/OIP.uQv9-w-yHxMBjLUPgydvsQHaEK?w=317&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de Harbin Institute of Technology,1988,https://th.bing.com/th/id/OIP.mHknNSko0K6W7JKYCsA8AgHaD4?rs=1&pid=ImgDetMain
Université de Beihang,1906,https://th.bing.com/th/id/OIP.adR4j4Dp5phuobhT0M36qQHaDR?rs=1&pid=ImgDetMain
Université des Mines et Technologies de Chine,1926,https://th.bing.com/th/id/OIP.mUTYYPHODQYPgsPLobsScgAAAA?w=180&h=122&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de la Communication de Chine,1978,https://th.bing.com/th/id/OIP.7wazfls8PMbe44dp5C3qkQHaB7?w=299&h=181&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Normale de Pékin,1969,https://th.bing.com/th/id/OIP.IP4ahsRpXdDQfQKTYwPC9gHaEU?w=314&h=183&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de la Défense Nationale de Technologie,1944,https://th.bing.com/th/id/OIP.eQY-5S8n7D5uMEbO2c0cswAAAA?w=260&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université des Finances et de l'Économie de Shanghai,1922,https://th.bing.com/th/id/OIP.nLZAyqPLklWT2DWaoK2hEAHaEp?w=245&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Agricole de Chine,1949,https://th.bing.com/th/id/OIP.JfPwAWrkpcFraCIA9-Kn3gHaFQ?w=251&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Océanique de Chine,1953,https://th.bing.com/th/id/OIP.jqx_07Nz5hv4cWI_Y2JnRgHaDY?w=313&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université des Langues Étrangères de Pékin,1983,https://th.bing.com/th/id/OIP.3fh3eHVhB8gB2jWN-RMqfwHaEK?w=252&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Centrale des Beaux-Arts de Chine,1944,https://th.bing.com/th/id/OIP.1M3zSR3RY0cEZ-u4NVe-RAHaEK?w=304&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Polytechnique du Nord-Ouest,1985,https://th.bing.com/th/id/OIP.qmeTm_eqJGXG18eULmBQeAHaFZ?w=208&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Normale de l'Est de la Chine,1989,https://th.bing.com/th/id/OIP.VKT7a7eMUwLcUZWFdv4TbwHaFj?w=236&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de Chongqing,1974,https://www.digiedupro.com/media/2019/08/Chongqing-University.jpg
Université du Nord-Est,1922,https://th.bing.com/th/id/OIP.jCX4jSzzgWYvYmq9udPavQHaG4?w=182&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de Lanzhou,1920,https://th.bing.com/th/id/OIP.ry3lmg2uR7N9aAxzqqn7rwHaEc?w=237&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université d'économie et de commerce international,1918,https://th.bing.com/th/id/OIP.bEkFpfdaHg-d_Vo8UhR_uwHaHa?w=166&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université Normale de la Chine du Sud,1976,https://th.bing.com/th/id/OIP.Vb3V8Z3XMSbOSzX3FgkzowHaEK?w=318&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université de l'Aéronautique et de l'Astronautique de Nanjing,1913,https://th.bing.com/th/id/OIP.9_vXYdJ8AXdMkeQfcB6ZBgHaHO?w=154&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
Université des Technologies du Sud de la Chine,1998,https://th.bing.com/th/id/OIP.RH-AUYRlgYShenUK3EWBiAAAAA?w=265&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
