Université,Date de création,img_url
Sorbonne Université,1257,https://i.pinimg.com/736x/bf/2b/0a/bf2b0a7a16b932a7c6e34a37a317e49a.jpg
Université de Strasbourg,1621,https://i.pinimg.com/736x/b1/d8/f4/b1d8f4a70c6438e2cbd165b3cc18d558.jpg
Université de Bordeaux,1441,https://i.pinimg.com/736x/1b/e2/2d/1be22d091a9a8d30406a2d9d3c7476e7.jpg
Université de Lyon,1896,https://i.pinimg.com/736x/d7/35/fe/d735fe34f3e117d68f87def4562b26bd.jpg
Université de Grenoble,1339,https://i.pinimg.com/736x/4a/75/9b/4a759bfc9f227c8d98ae74578205db17.jpg
Université de Lille,1562,https://i.pinimg.com/736x/81/5d/e2/815de2ce61f961071ca6a8f92a712e29.jpg
Université de Montpellier,1289,https://i.pinimg.com/736x/08/d4/c9/08d4c9965b9d8d6a2cf2e58e5296ce9b.jpg
Université de Toulouse,1229,https://i.pinimg.com/736x/92/78/2a/92782aa97de9c5c7b2faf04837c3295b.jpg
Université d'Aix-Marseille,1409,https://i.pinimg.com/736x/ef/d2/79/efd279767cc07d8c07cb39cd5887762e.jpg
Université de Rennes,1461,https://i.pinimg.com/736x/cd/00/d2/cd00d28c25cc7544d4a2acd7f00f279c.jpg
Université Paris-Saclay,2015,https://i.pinimg.com/736x/a6/ee/52/a6ee52bbf1979458746de3b0415260bf.jpg
Université Côte d’Azur,1965,https://i.pinimg.com/736x/74/4c/87/744c878725c4e32ef8468b862f2c666d.jpg
Université de Nantes,1460,https://i.pinimg.com/736x/6e/3c/c5/6e3cc5bc0b715d9212bbd71ecc293f02.jpg
Université d’Orléans,1306,https://i.pinimg.com/736x/53/7c/23/537c23efd97d998a32a3c31937008f7e.jpg
Université de Pau et des Pays de l’Adour,1970,https://i.pinimg.com/736x/51/ef/44/51ef444bd847667cd73007215bbdc940.jpg
Université Paris Cité,2019,https://i.pinimg.com/736x/d6/0a/06/d60a06e632775b1d4dc6f61328ab2dd3.jpg
Université de Perpignan Via Domitia,1350,https://i.pinimg.com/736x/e2/e7/86/e2e7864ec3ce7476624a9dc6a3bc9632.jpg
Université de Savoie Mont Blanc,1979,https://i.pinimg.com/736x/cf/92/ca/cf92ca15400f98953d86a75cf62b17ae.jpg
Université de Clermont Auvergne,2017,https://i.pinimg.com/236x/f4/0e/ed/f40eed24153d59ca3c2b22e5e3651561.jpg
Université de Lorraine,2012,https://i.pinimg.com/736x/01/83/4e/01834e0ebf80a6e38d9ea65001619f09.jpg
Université de Paris,1150,https://i.pinimg.com/736x/64/41/89/644189de4872cd15369ab1479e79ccc6.jpg
Université de Rennes 1,1461,https://media.ouest-france.fr/v1/pictures/MjAxOTA5ZGViMzIyZjE1NWZmYzZjMTE3N2IxNWFkMTkwNTA1NGE?width=1260&height=708&focuspoint=50%2C25&cropresize=1&client_id=bpeditorial&sign=4a18d000290b689675fc7a0e8a2e3e7ce45715da9d44e80d16b0b81e85a09364
Université de Nice Sophia Antipolis,1965,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Campus_de_Nice.jpg/260px-Campus_de_Nice.jpg
Université de Caen Normandie,1432,https://www.unicaen.fr/wp-content/uploads/2023/07/Excellences.jpg
Université de Poitiers,1431,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/H%C3%B4tel-Pinet-Poitiers.jpg/260px-H%C3%B4tel-Pinet-Poitiers.jpg
Université de Clermont Auvergne,1808,https://www.uca.fr/medias/photo/51014612435-409e0bd411-c_1662561973244-jpg
Université de Limoges,1968,https://upload.wikimedia.org/wikipedia/commons/5/52/Services_centraux_de_l%27Universit%C3%A9_de_Limoges_%282%29.JPG
Université de Corse Pascal Paoli,1765,https://orientazione.isula.corsica/content/uploads/2019/07/8D08559_00005UNIVERSITE50-1-e1564470729150-950x630.jpg
Université de Versailles-Saint-Quentin-en-Yvelines,1991,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/UFR_Sant%C3%A9_Simone_Veil_UVSQ.JPG/260px-UFR_Sant%C3%A9_Simone_Veil_UVSQ.JPG
Université de Reims Champagne-Ardenne,1548,https://remeng.rosselcdn.net/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2021/03/30/node_245127/12256015/public/2021/03/30/B9726590824Z.1_20210330192239_000%2BGLSHS70F4.1-0.jpg?itok=_WgFlU461617126254
Université de Bourgogne,1722,https://www.tracesecritesnews.fr/inc/timthumb.php?src=https://www.tracesecritesnews.fr/wp-content/source/2023/Novembre/uBE/campus%20metropolitain.png&w=1280&a=t&zc=1
Université Jean Monnet Saint-Étienne,1969,https://www.univ-st-etienne.fr/_richText-file/ametys-internal%253Asites/ujm/ametys-internal%253Acontents/plans-d-acces-2/_attribute/content/_data/Campus-Sante-Innovations-Martine-Leroy.jpg
Université d'Angers,1337,https://hippisme.my-angers.info/wp-content/uploads/2013/04/p1020909.jpg
Université de Picardie Jules Verne,1969,https://boursedetude.org/wp-content/uploads/2023/07/universite-de-Picardie-Jules-Vernes.jpg
Université de Haute-Alsace,1975,https://upload.wikimedia.org/wikipedia/commons/d/d2/Campusfonderie.jpg
Université Paris Dauphine,1968,https://upload.wikimedia.org/wikipedia/commons/d/d2/NezUniversiteParisDauphine.jpg
